title,description,publishedAt,source,url,publishedAt_utc,publishedAt_ny,hour_bin
Amazon’s Starlink Challenger Is Finally Heading to Orbit,,2025-04-09T14:10:47Z,Biztoc.com,https://biztoc.com/x/44c2200bc4cf90da,2025-04-09 14:10:47+00:00,2025-04-09 10:10:47-04:00,2025-04-09 10:00:00-04:00
Amazon cancels some orders from China amid U.S.-China tariff war,"Amazon has canceled some orders from vendors in China, Vietnam and Thailand as President Trump's tariff policy sent its stock tumbling.",2025-04-09T15:32:35Z,TheStreet,https://www.thestreet.com/crypto/markets/amazon-cancels-some-orders-from-china-as-the-u-s-china-tariff-war,2025-04-09 15:32:35+00:00,2025-04-09 11:32:35-04:00,2025-04-09 11:00:00-04:00
Two Banks Lower Their Price Targets on Amazon (AMZN) Stock,"In This Article:
Two major banks recently slashed their price targets on Amazon (AMZN) stock, but both banks remain bullish on the tech giant's overall outlook, Schwab Network reported.
Mizuho's Take on AMZN Stock
The Japanese bank lowered its price target on…",2025-04-09T16:03:40Z,Biztoc.com,https://biztoc.com/x/3b63702c72b0b901,2025-04-09 16:03:40+00:00,2025-04-09 12:03:40-04:00,2025-04-09 12:00:00-04:00
Amazon already appears to be cutting back as tariffs kick in,"Amazon (AMZN) is canceling some wholesale orders from Asia that it directly imports and ships to its warehouses as it begins to respond to President Donald Trump’s trade war, according to a new report.Read more...",2025-04-09T17:11:00Z,Quartz India,https://qz.com/amazon-cutting-back-tariffs-trump-trade-war-china-1851775470,2025-04-09 17:11:00+00:00,2025-04-09 13:11:00-04:00,2025-04-09 13:00:00-04:00
Amazon Seeking Finance Partner for Potential $15B Warehouse Expansion,"Tech and e-commerce giant Amazon is seeking a financing partner for a potential $15 billion plan to build warehouses in the U.S. Amazon hopes to see nearly 80 new logistics facilities built in key U.S. cities and rural areas, Bloomberg reported. Amazon offici…",2025-04-09T18:58:08Z,Commercial Observer,http://commercialobserver.com/2025/04/amazon-15b-warehouse-expansion/,2025-04-09 18:58:08+00:00,2025-04-09 14:58:08-04:00,2025-04-09 14:00:00-04:00
Where Will Amazon Stock Be In 5 Years?,"Wondering where Amazon stock may be in five years? Learn what the current state of 
AMZN stock is and what its five-year outlook may contain.",2025-04-09T19:43:00Z,Forbes,https://www.forbes.com/sites/investor-hub/article/where-will-amazon-amzn-stock-be-in-5-years/,2025-04-09 19:43:00+00:00,2025-04-09 15:43:00-04:00,2025-04-09 15:00:00-04:00
Bank of America Sees Opportunities for Amazon Amid Tariff Uncertainty,"Amazon is likely to face pressure on its profit margins as it feels the effect of the Trump administration's tariffs, but the online retail giant also has...",2025-04-09T19:06:04Z,Investopedia,https://www.investopedia.com/bank-of-america-sees-opportunities-for-amazon-amid-tariff-uncertainty-11711923,2025-04-09 19:06:04+00:00,2025-04-09 15:06:04-04:00,2025-04-09 15:00:00-04:00
"Expect Amazon prices to rise because of tariffs, CEO says | CNN Business","Amazon shoppers can likely expect some prices to rise due to the ongoing global trade war, the company’s CEO admitted.",2025-04-10T14:42:32Z,CNN,https://www.cnn.com/2025/04/10/business/amazon-ceo-prices-tariffs/index.html,2025-04-10 14:42:32+00:00,2025-04-10 10:42:32-04:00,2025-04-10 10:00:00-04:00
"Amazon needs to stay 'the world's largest startup,' CEO says","Amazon (AMZN) CEO Andy Jassy said the company needs to operate like the “world’s largest startup” on Thursday in his annual letter to shareholders — which means continuing to invest in AI, cutting bureaucracy, and expanding into different realms.Read more...",2025-04-10T14:29:00Z,Quartz India,https://qz.com/amazon-ceo-andy-jassy-shareholder-letter-ai-1851775611,2025-04-10 14:29:00+00:00,2025-04-10 10:29:00-04:00,2025-04-10 10:00:00-04:00
"Dow Jones Today: DIA ETF Down 2%, Amazon (Nasdaq: AMZN) and American Express (NYSE: AXP) Drop","Live Updates
 
 Live Coverage
 Updates appear automatically as they are published.
 
 
 
 
 
 
Good Inflation Numbers Just Came In 
 
 
 10:06 am
 by Joel South 
 
 
 
 
Inflation eased to 2.4% in March’s CPI report, beating the 2.5% prediction, while Core CP…",2025-04-10T14:28:47Z,Biztoc.com,https://biztoc.com/x/551713dff08f7e14,2025-04-10 14:28:47+00:00,2025-04-10 10:28:47-04:00,2025-04-10 10:00:00-04:00
"Cardano’s Hoskinson Sees Bitcoin Touching $250K, Tech Giants Adopting Stablecoins","“You’ll have a lot of fast, cheap money, and then it’ll pour into crypto,” he said in a recent interview.",2025-04-10T15:07:38Z,CoinDesk,https://www.coindesk.com/markets/2025/04/10/cardano-s-hoskinson-sees-bitcoin-touching-usd250k-tech-giants-adopting-stablecoins,2025-04-10 15:07:38+00:00,2025-04-10 11:07:38-04:00,2025-04-10 11:00:00-04:00
